gene	13-IC	13-N	16-M	16-N	1-IC	1-N	1-IF	20-IC	20-M	20-IF	22-IC	22-N	22-IF	23-N	26-M	26-IF	28-M	28-N	2-IC	44-IC	44-M	44-N	44-IF	47-IC	47-N	47-IF	54-IC	54-N	54-IF	56-IC	56-M	56-N	56-IF	58-IC	58-N	58-IF	59-IC	59-N	59-IF	61-IC	61-IF	63-IC	63-N	63-IF	64-IC	64-M-2	64-M	64-N	64-IF	65-IC	65-N	65-IF	69-M	69-N	69-IF	6-IC	6-N	6-IF
ENSG00000117152	1.526069	1.321928	2.358959	0.389567	2.771886	1.531069	2.411426	3.040892	1.673556	1.613532	0.956057	0.389567	0.263034	0.879706	2.485427	0.83996	2.24184	0.097611	2.422233	3.30305	1.570463	1.070389	3.544733	2.432959	0.584963	1.22033	2.435629	0.475085	1.929791	3.295723	1.70044	1.007196	2.629939	0.584963	1.604071	0.831877	3.628774	0.970854	3.358959	1.275007	1.137504	2.861955	2.049631	2.31904	1.794936	3.276497	1.906891	0.863938	1.570463	0.367371	1.077243	0.773996	2.914565	1.790772	1.042644	0.464668	0.516015	0.263034
ENSG00000179632	3.986411	3.643856	4.206331	3.548437	4.451541	3.566815	4.631104	4.329124	4.116864	4.293518	3.863938	3.542258	4.19456	3.876762	4.695437	4.275007	4.487358	3.670161	4.892391	4.354734	3.963474	3.843984	4.825277	3.594549	3.169925	3.430285	3.722466	3.493135	3.569248	5.06652	4.860466	3.966246	4.613532	4.22265	3.773996	4.413459	4.608809	4.036503	4.86839	4.183487	4.229588	3.992768	3.726831	4.067811	3.884598	4.075533	3.85997	3.641546	4.177121	4.24184	3.830864	3.88655	4.484138	3.468583	4.358959	4.436961	3.905928	4.097611
ENSG00000127314	7.681309	7.565978	8.085233	7.004614	8.004558	6.689299	7.783849	8.691744	8.038974	8.604998	7.337354	6.572738	7.907852	7.533252	8.208234	6.467116	8.073606	7.258896	8.464464	8.549977	8.208917	7.079165	8.264583	8.783522	7.499607	8.039413	8.412993	7.783588	8.109883	8.155122	8.183933	6.903761	8.015359	8.58391	7.370426	8.606775	7.959538	7.230645	8.308066	7.935283	7.800123	7.970394	6.900021	7.804066	8.26341	8.736537	8.299712	7.776894	8.20232	8.337265	7.219265	8.485427	8.214611	8.656568	8.196823	8.479255	7.428444	8.243174
ENSG00000170390	0.933573	0.879706	0.963474	1.448901	1.570463	0.903038	0.83996	0.650765	0.799087	1.244887	0.495695	0.422233	1.077243	1.063503	1.084064	0.613532	1.042644	0.505891	2.370164	0.941106	2.07382	0.748461	0.823749	0.978196	0.526069	0.097611	0.695994	0.895303	0.604071	1.189034	0.650765	0.933573	1.367371	0.389567	1.189034	0.378512	1.536053	0.815575	1.454176	1.157044	0.650765	0.9855	1.042644	1.389567	0.432959	1.244887	0.650765	1.238787	0.704872	0.378512	0.650765	0.536053	0.485427	1.263034	0.389567	0.887525	0.815575	0.773996
ENSG00000104872	2.948601	3.61471	3.864929	3.824768	3.8166	3.092546	3.705978	2.903038	3.82069	3.683696	3.132577	3.846995	4.053111	3.788686	4.498251	2.957915	4.090007	3.424922	3.838952	3.41819	2.942984	4.020591	3.80426	2.817623	3.100978	2.937344	3.548437	2.889474	3.033863	4.536053	3.858976	3.249445	3.857981	4.398487	3.77926	4.083213	4.598722	4.289097	4.495695	3.954196	4.107688	3.346248	4.008092	3.879706	4.308885	3.582556	4.244887	3.731183	3.799087	4.137504	4.217231	4.265287	3.179511	2.946731	3.812498	3.794936	3.232661	3.765535
ENSG00000182199	6.517906	5.230741	4.752213	4.259272	4.757023	3.49057	5.070389	5.893605	5.322649	5.387156	4.179511	3.655352	5.009885	4.432291	5.950002	3.544733	5.458776	5.011675	6.597531	5.490249	4.110196	4.3875	5.321567	4.988685	4.157852	4.766595	4.196135	3.910733	3.818646	5.704042	5.233044	4.251719	4.871844	6.786466	4.792335	6.881053	5.758356	4.833396	5.449561	5.499846	5.584662	4.509062	4.198494	4.65764	4.939697	4.8885	4.305971	3.964399	4.520422	5.238787	4.456806	5.31143	4.95745	3.790772	5.314697	5.347311	4.844988	5.096768
ENSG00000143452	2.482848	2.01078	2.967169	2.553361	2.817623	0.536053	2.879706	2.295723	1.111031	2.166715	0.137504	0.31034	0.62293	0.367371	3.257011	0	0.831877	0	4.397118	2.41684	0.903038	2.327687	2.438293	3.847997	2.247928	3.330558	4.818646	4.122673	4.356144	3.432959	3.144046	2.087463	1.891419	2.969012	1.097611	2.922198	2.895303	3.023255	3.539779	0.176323	0.454176	0	0.495695	0	0	1.510962	0.704872	0	0.238787	2.857981	2.776104	2.972693	0.389567	0.443607	0	0	2.643856	0.201634
ENSG00000115590	3.995485	5.794936	3.566815	2.226509	4.403268	2.750607	2.99458	4.163499	3.709291	3.838952	3.494416	3.830864	5.513807	5.344828	4.06695	4.397803	5.019702	4.578939	2.195348	4.018812	3.374344	5.842476	3.307429	4.82273	4.749534	4.65764	4.687061	5.328406	5.949068	3.502076	2.313246	3.723559	2.144046	3.122673	3.374344	2.737687	4.508429	5.06996	3.693766	3.419539	5.622638	4.825786	3.347666	2.655352	3.017922	3.401903	2.039138	2.691534	4.598722	4.738227	3.878725	5.272023	4.096768	7.134221	4.320485	0.933573	4.609991	1.650765
ENSG00000122136	0	0	0.545968	0	0.344828	0	0.333424	0.344828	0.321928	0.575312	1.263034	0	0.356144	0	0	0	0.505891	0	0.739848	0.485427	0	0	0.344828	0.321928	0	0	0	0	0	1.157044	0	0	0.613532	0.124328	0	0.226509	0.659925	0	0	0	0	0	0	0.176323	0.298658	0.659925	0	0	0	0	0	0	0	0	0	0.286881	0	0
ENSG00000183579	2.589763	1.735522	1.794936	2.477677	1.871844	1.350497	1.794936	1.526069	1.238787	2.160275	1.286881	1.83996	1.49057	2.140779	2.634593	1.510962	1.269033	1.83996	2.356144	1.516015	1.823749	1.275007	2.053111	1.925999	1.618239	1.765535	1.372952	1.226509	1.389567	2.163499	2.053111	1.85997	1.85997	1.485427	1.480265	1.541019	1.794936	1.843984	1.835924	1.823749	1.867896	1.62293	2.589763	1.790772	1.516015	1.207893	1.298658	1.454176	1.292782	1.613532	2.003602	1.627607	0.970854	1.526069	1.286881	2.427606	1.521051	2.283922
