sample	sample_weight
13-IC	4.160902843835717
13-N	4.537251569107068
16-M	5.370228047368604
16-N	3.1007013940438686
1-IC	5.1406809471446175
1-N	1.6890207455147455
1-IF	5.128488340310903
20-IC	5.422116775518589
20-M	5.50366665649558
20-IF	5.290472617161002
22-IC	4.933403750938617
22-N	3.5969735308416175
22-IF	5.061714511210696
23-N	5.010127821365305
26-M	3.5938439069719563
26-IF	0.6348439105169146
28-M	5.555597017540758
28-N	4.390224701264916
2-IC	3.173499839034841
44-IC	5.096515542827609
44-M	0.5087065467881753
44-N	4.166699805007034
44-IF	5.282963786437068
47-IC	3.2547043808473757
47-N	4.111400635562155
47-IF	2.405283149758455
54-IC	5.147458024461764
54-N	4.906484386374461
54-IF	4.861286923729006
56-IC	5.282917679499454
56-M	5.140804345845702
56-N	3.598936504133386
56-IF	2.9830950910569864
58-IC	4.826024022093078
58-N	3.6362144561754395
58-IF	4.813878472503231
59-IC	4.870497350358379
59-N	4.234263685187849
59-IF	5.47489261552474
61-IC	5.482061609128597
61-IF	5.800000000000001
63-IC	4.6487230767185865
63-N	3.909037349177892
63-IF	4.595209997293536
64-IC	4.888434190789572
64-M-2	4.542908891112865
64-M	5.22998333436919
64-N	5.34478237678387
64-IF	5.324435252649028
65-IC	4.747704750838472
65-N	4.405329327244918
65-IF	5.00401165523542
69-M	4.692471986632367
69-N	3.876487181891581
69-IF	5.1226447455605335
6-IC	3.106943340337388
6-N	4.821077433030391
6-IF	3.42382025332557
