Pathway name	P-value	FDR q-value	N	M	n	m
Glycolysis / Gluconeogenesis	1.0	1.0	12780.0	0	323.0	0
Citrate cycle (TCA cycle)	1.0	1.0	12780.0	0	323.0	0
Pentose phosphate pathway	1.0	1.0	12780.0	0	323.0	0
Pentose and glucuronate interconversions	1.0	1.0	12780.0	0	323.0	0
Fructose and mannose metabolism	1.0	1.0	12780.0	0	323.0	0
Galactose metabolism	1.0	1.0	12780.0	0	323.0	0
Ascorbate and aldarate metabolism	1.0	1.0	12780.0	0	323.0	0
Fatty acid biosynthesis	1.0	1.0	12780.0	0	323.0	0
Fatty acid elongation	1.0	1.0	12780.0	0	323.0	0
Fatty acid degradation	1.0	1.0	12780.0	0	323.0	0
Steroid biosynthesis	1.0	1.0	12780.0	0	323.0	0
Primary bile acid biosynthesis	1.0	1.0	12780.0	0	323.0	0
Ubiquinone and other terpenoid-quinone biosynthesis	1.0	1.0	12780.0	0	323.0	0
Steroid hormone biosynthesis	1.0	1.0	12780.0	0	323.0	0
Oxidative phosphorylation	1.0	1.0	12780.0	0	323.0	0
Arginine biosynthesis	1.0	1.0	12780.0	0	323.0	0
Purine metabolism	1.0	1.0	12780.0	1.0	323.0	0
Caffeine metabolism	1.0	1.0	12780.0	0	323.0	0
Pyrimidine metabolism	1.0	1.0	12780.0	0	323.0	0
Alanine, aspartate and glutamate metabolism	1.0	1.0	12780.0	0	323.0	0
Glycine, serine and threonine metabolism	1.0	1.0	12780.0	0	323.0	0
Cysteine and methionine metabolism	1.0	1.0	12780.0	0	323.0	0
Valine, leucine and isoleucine degradation	1.0	1.0	12780.0	0	323.0	0
Valine, leucine and isoleucine biosynthesis	1.0	1.0	12780.0	0	323.0	0
Lysine degradation	1.0	1.0	12780.0	0	323.0	0
Arginine and proline metabolism	1.0	1.0	12780.0	1.0	323.0	0
Histidine metabolism	1.0	1.0	12780.0	0	323.0	0
Tyrosine metabolism	1.0	1.0	12780.0	0	323.0	0
Phenylalanine metabolism	1.0	1.0	12780.0	0	323.0	0
Tryptophan metabolism	1.0	1.0	12780.0	0	323.0	0
Phenylalanine, tyrosine and tryptophan biosynthesis	1.0	1.0	12780.0	0	323.0	0
beta-Alanine metabolism	1.0	1.0	12780.0	0	323.0	0
Taurine and hypotaurine metabolism	1.0	1.0	12780.0	0	323.0	0
Phosphonate and phosphinate metabolism	1.0	1.0	12780.0	0	323.0	0
Selenocompound metabolism	1.0	1.0	12780.0	0	323.0	0
D-Amino acid metabolism	1.0	1.0	12780.0	0	323.0	0
Glutathione metabolism	1.0	1.0	12780.0	0	323.0	0
Starch and sucrose metabolism	1.0	1.0	12780.0	0	323.0	0
N-Glycan biosynthesis	1.0	1.0	12780.0	0	323.0	0
Other glycan degradation	1.0	1.0	12780.0	0	323.0	0
Mucin type O-glycan biosynthesis	1.0	1.0	12780.0	0	323.0	0
Various types of N-glycan biosynthesis	1.0	1.0	12780.0	0	323.0	0
Other types of O-glycan biosynthesis	1.0	1.0	12780.0	0	323.0	0
Mannose type O-glycan biosynthesis	1.0	1.0	12780.0	0	323.0	0
Amino sugar and nucleotide sugar metabolism	1.0	1.0	12780.0	0	323.0	0
Neomycin, kanamycin and gentamicin biosynthesis	1.0	1.0	12780.0	0	323.0	0
Glycosaminoglycan degradation	1.0	1.0	12780.0	0	323.0	0
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	1.0	1.0	12780.0	0	323.0	0
Glycosaminoglycan biosynthesis - keratan sulfate	1.0	1.0	12780.0	0	323.0	0
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	1.0	1.0	12780.0	0	323.0	0
Glycerolipid metabolism	1.0	1.0	12780.0	0	323.0	0
Inositol phosphate metabolism	1.0	1.0	12780.0	0	323.0	0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	1.0	1.0	12780.0	0	323.0	0
Glycerophospholipid metabolism	1.0	1.0	12780.0	1.0	323.0	0
Ether lipid metabolism	1.0	1.0	12780.0	0	323.0	0
Arachidonic acid metabolism	1.0	1.0	12780.0	0	323.0	0
Linoleic acid metabolism	1.0	1.0	12780.0	0	323.0	0
alpha-Linolenic acid metabolism	1.0	1.0	12780.0	0	323.0	0
Sphingolipid metabolism	1.0	1.0	12780.0	0	323.0	0
Glycosphingolipid biosynthesis - lacto and neolacto series	1.0	1.0	12780.0	0	323.0	0
Glycosphingolipid biosynthesis - globo and isoglobo series	1.0	1.0	12780.0	0	323.0	0
Glycosphingolipid biosynthesis - ganglio series	1.0	1.0	12780.0	0	323.0	0
Pyruvate metabolism	1.0	1.0	12780.0	0	323.0	0
Glyoxylate and dicarboxylate metabolism	1.0	1.0	12780.0	0	323.0	0
Propanoate metabolism	1.0	1.0	12780.0	0	323.0	0
Butanoate metabolism	1.0	1.0	12780.0	0	323.0	0
One carbon pool by folate	1.0	1.0	12780.0	0	323.0	0
Thiamine metabolism	1.0	1.0	12780.0	0	323.0	0
Riboflavin metabolism	1.0	1.0	12780.0	0	323.0	0
Vitamin B6 metabolism	1.0	1.0	12780.0	0	323.0	0
Nicotinate and nicotinamide metabolism	1.0	1.0	12780.0	0	323.0	0
Pantothenate and CoA biosynthesis	1.0	1.0	12780.0	0	323.0	0
Biotin metabolism	1.0	1.0	12780.0	0	323.0	0
Lipoic acid metabolism	1.0	1.0	12780.0	0	323.0	0
Folate biosynthesis	1.0	1.0	12780.0	0	323.0	0
Retinol metabolism	1.0	1.0	12780.0	0	323.0	0
Porphyrin metabolism	1.0	1.0	12780.0	0	323.0	0
Terpenoid backbone biosynthesis	1.0	1.0	12780.0	0	323.0	0
Nitrogen metabolism	1.0	1.0	12780.0	0	323.0	0
Sulfur metabolism	1.0	1.0	12780.0	0	323.0	0
Aminoacyl-tRNA biosynthesis	1.0	1.0	12780.0	0	323.0	0
Metabolism of xenobiotics by cytochrome P450	1.0	1.0	12780.0	0	323.0	0
Drug metabolism - cytochrome P450	1.0	1.0	12780.0	0	323.0	0
Drug metabolism - other enzymes	1.0	1.0	12780.0	2.0	323.0	0
Biosynthesis of unsaturated fatty acids	1.0	1.0	12780.0	0	323.0	0
Metabolic pathways	1.0	1.0	12780.0	97.0	323.0	0
Carbon metabolism	1.0	1.0	12780.0	0	323.0	0
2-Oxocarboxylic acid metabolism	1.0	1.0	12780.0	0	323.0	0
Fatty acid metabolism	1.0	1.0	12780.0	0	323.0	0
Biosynthesis of amino acids	1.0	1.0	12780.0	0	323.0	0
Nucleotide metabolism	1.0	1.0	12780.0	0	323.0	0
Biosynthesis of cofactors	1.0	1.0	12780.0	3.0	323.0	0
Biosynthesis of nucleotide sugars	1.0	1.0	12780.0	0	323.0	0
EGFR tyrosine kinase inhibitor resistance	1.0	1.0	12780.0	0	323.0	0
Endocrine resistance	1.0	1.0	12780.0	1.0	323.0	0
Antifolate resistance	1.0	1.0	12780.0	0	323.0	0
Platinum drug resistance	1.0	1.0	12780.0	1.0	323.0	0
ABC transporters	1.0	1.0	12780.0	0	323.0	0
Ribosome biogenesis in eukaryotes	1.0	1.0	12780.0	0	323.0	0
Ribosome	1.0	1.0	12780.0	5.0	323.0	0
Nucleocytoplasmic transport	1.0	1.0	12780.0	0	323.0	0
mRNA surveillance pathway	1.0	1.0	12780.0	0	323.0	0
RNA degradation	1.0	1.0	12780.0	2.0	323.0	0
RNA polymerase	1.0	1.0	12780.0	0	323.0	0
Basal transcription factors	1.0	1.0	12780.0	0	323.0	0
DNA replication	1.0	1.0	12780.0	0	323.0	0
Spliceosome	1.0	1.0	12780.0	3.0	323.0	0
Proteasome	1.0	1.0	12780.0	1.0	323.0	0
Protein export	1.0	1.0	12780.0	0	323.0	0
Viral life cycle - HIV-1	1.0	1.0	12780.0	0	323.0	0
PPAR signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Base excision repair	1.0	1.0	12780.0	0	323.0	0
Nucleotide excision repair	1.0	1.0	12780.0	0	323.0	0
Mismatch repair	1.0	1.0	12780.0	0	323.0	0
Homologous recombination	1.0	1.0	12780.0	0	323.0	0
Non-homologous end-joining	1.0	1.0	12780.0	0	323.0	0
Fanconi anemia pathway	1.0	1.0	12780.0	1.0	323.0	0
MAPK signaling pathway	1.0	1.0	12780.0	9.0	323.0	0
ErbB signaling pathway	1.0	1.0	12780.0	0	323.0	0
Ras signaling pathway	1.0	1.0	12780.0	5.0	323.0	0
Rap1 signaling pathway	1.0	1.0	12780.0	3.0	323.0	0
Calcium signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
cGMP-PKG signaling pathway	1.0	1.0	12780.0	2.0	323.0	0
cAMP signaling pathway	1.0	1.0	12780.0	5.0	323.0	0
Cytokine-cytokine receptor interaction	0.2259189509187678	1.0	12780.0	10.0	323.0	1.0
Viral protein interaction with cytokine and cytokine receptor	0.049910890336147894	1.0	12780.0	2.0	323.0	1.0
Chemokine signaling pathway	0.020385066450624555	1.0	12780.0	9.0	323.0	2.0
NF-kappa B signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
HIF-1 signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
FoxO signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Phosphatidylinositol signaling system	1.0	1.0	12780.0	0	323.0	0
Sphingolipid signaling pathway	1.0	1.0	12780.0	0	323.0	0
Phospholipase D signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Neuroactive ligand-receptor interaction	1.0	1.0	12780.0	0	323.0	0
Cell cycle	1.0	1.0	12780.0	0	323.0	0
Oocyte meiosis	1.0	1.0	12780.0	0	323.0	0
p53 signaling pathway	1.0	1.0	12780.0	0	323.0	0
Ubiquitin mediated proteolysis	1.0	1.0	12780.0	3.0	323.0	0
Sulfur relay system	1.0	1.0	12780.0	0	323.0	0
SNARE interactions in vesicular transport	1.0	1.0	12780.0	0	323.0	0
Autophagy - other	1.0	1.0	12780.0	0	323.0	0
Mitophagy - animal	1.0	1.0	12780.0	0	323.0	0
Autophagy - animal	1.0	1.0	12780.0	2.0	323.0	0
Protein processing in endoplasmic reticulum	1.0	1.0	12780.0	3.0	323.0	0
Lysosome	1.0	1.0	12780.0	3.0	323.0	0
Endocytosis	1.0	1.0	12780.0	0	323.0	0
Phagosome	1.0	1.0	12780.0	7.0	323.0	0
Peroxisome	1.0	1.0	12780.0	0	323.0	0
mTOR signaling pathway	1.0	1.0	12780.0	0	323.0	0
PI3K-Akt signaling pathway	1.0	1.0	12780.0	4.0	323.0	0
AMPK signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Apoptosis	1.0	1.0	12780.0	3.0	323.0	0
Longevity regulating pathway	1.0	1.0	12780.0	1.0	323.0	0
Longevity regulating pathway - multiple species	1.0	1.0	12780.0	1.0	323.0	0
Apoptosis - multiple species	1.0	1.0	12780.0	0	323.0	0
Ferroptosis	1.0	1.0	12780.0	0	323.0	0
Necroptosis	1.0	1.0	12780.0	1.0	323.0	0
Cellular senescence	1.0	1.0	12780.0	0	323.0	0
Cardiac muscle contraction	1.0	1.0	12780.0	0	323.0	0
Adrenergic signaling in cardiomyocytes	1.0	1.0	12780.0	2.0	323.0	0
Vascular smooth muscle contraction	1.0	1.0	12780.0	1.0	323.0	0
Wnt signaling pathway	1.0	1.0	12780.0	2.0	323.0	0
Notch signaling pathway	1.0	1.0	12780.0	0	323.0	0
Hedgehog signaling pathway	1.0	1.0	12780.0	0	323.0	0
TGF-beta signaling pathway	1.0	1.0	12780.0	2.0	323.0	0
Axon guidance	1.0	1.0	12780.0	2.0	323.0	0
VEGF signaling pathway	1.0	1.0	12780.0	0	323.0	0
Apelin signaling pathway	1.0	1.0	12780.0	1.0	323.0	0
Osteoclast differentiation	1.0	1.0	12780.0	5.0	323.0	0
Hippo signaling pathway	1.0	1.0	12780.0	2.0	323.0	0
Hippo signaling pathway - multiple species	1.0	1.0	12780.0	0	323.0	0
Focal adhesion	1.0	1.0	12780.0	6.0	323.0	0
ECM-receptor interaction	1.0	1.0	12780.0	1.0	323.0	0
Cell adhesion molecules	1.0	1.0	12780.0	8.0	323.0	0
Adherens junction	1.0	1.0	12780.0	1.0	323.0	0
Tight junction	1.0	1.0	12780.0	2.0	323.0	0
Gap junction	1.0	1.0	12780.0	0	323.0	0
Signaling pathways regulating pluripotency of stem cells	1.0	1.0	12780.0	0	323.0	0
Complement and coagulation cascades	1.0	1.0	12780.0	2.0	323.0	0
Platelet activation	1.0	1.0	12780.0	3.0	323.0	0
Antigen processing and presentation	1.0	1.0	12780.0	8.0	323.0	0
Neutrophil extracellular trap formation	1.0	1.0	12780.0	2.0	323.0	0
Renin-angiotensin system	1.0	1.0	12780.0	0	323.0	0
Toll-like receptor signaling pathway	1.0	1.0	12780.0	3.0	323.0	0
